timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1720184194747,60315,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-1,text,false,,694,2913,10,10,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60315,0,238
1720184194846,60300,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-2,text,false,,694,2913,9,9,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60300,0,225
1720184194948,60296,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-3,text,false,,694,2913,8,8,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60296,0,223
1720184195047,60327,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-4,text,false,,694,2913,7,7,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60327,0,249
1720184195148,60293,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-5,text,false,,694,2913,6,6,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60293,0,220
1720184195246,60287,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-6,text,false,,694,2913,5,5,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60287,0,216
1720184195347,60292,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-7,text,false,,694,2913,4,4,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60292,0,219
1720184195446,60289,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-8,text,false,,694,2913,3,3,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60289,0,215
1720184195547,60287,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-9,text,false,,694,2913,2,2,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60287,0,215
1720184195647,60290,PatientCreation-A01_/api/Hl7Message,504,Gateway Time-out,PatientCreation-A01 1-10,text,false,,694,2913,1,1,https://coa-agent-dev.hsc.alertenterprisecloud.com/api/Hl7Message,60290,0,214
