timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1720093543634,1652,Login,200,OK,AllScreens 1-1,text,true,,141548,858,2,2,http://172.16.33.16/api/auth/token,1617,0,1
1720093544686,1137,Login,200,OK,AllScreens 1-2,text,true,,141548,858,3,3,http://172.16.33.16/api/auth/token,1109,0,1
1720093545899,144,Access_AccessGroup-api/accessgrouptype/find,200,OK,AllScreens 1-1,text,true,,779,1161,3,3,http://172.16.33.16/api/accessgrouptype/find?_dc=1720093545899,144,0,0
1720093546823,280,VIM Dashboard/api/identity/ui/1,200,OK,AllScreens 1-2,text,true,,1799,1102,3,3,http://172.16.33.16/api/identity/ui/1?_dc=1720093546822,279,0,0
1720093547124,149,Access_AccessGroup-api/accessgroup/find,200,OK,AllScreens 1-1,text,true,,915,1394,3,3,http://172.16.33.16/api/accessgroup/find,149,0,0
1720093546852,1189,Login,200,OK,AllScreens 1-3,text,true,,141551,858,3,3,http://172.16.33.16/api/auth/token,1160,0,1
1720093549007,152,VIM Dashboard/api/idm/identitylocation/find,200,OK,AllScreens 1-2,text,true,,1454,1269,3,3,http://172.16.33.16/api/idm/identitylocation/find,152,0,0
1720093549825,132,VIM Dashboard/api/assetsubtype/find,200,OK,AllScreens 1-2,text,true,,1175,1158,4,4,http://172.16.33.16/api/assetsubtype/find?_dc=1720093549824,132,0,0
1720093549379,992,Login,200,OK,AllScreens 1-4,text,true,,141545,858,4,4,http://172.16.33.16/api/auth/token,959,0,1
1720093550786,231,VIM Dashboard/api/assettype/find,200,OK,AllScreens 1-2,text,true,,1174,1155,4,4,http://172.16.33.16/api/assettype/find?_dc=1720093550786,231,0,0
1720093551260,123,VIM_Visitor/api/getnewids,200,OK,AllScreens 1-4,text,true,,739,1098,4,4,http://172.16.33.16/api/getnewids?_dc=1710774835562,123,0,0
1720093551517,281,VIM Dashboard/api/asset/find,200,OK,AllScreens 1-2,text,true,,1748,1242,4,4,http://172.16.33.16/api/asset/find?_dc=1720093551517,280,0,0
1720093550145,2136,VIM_Visit_Type/api/messagemaster/find,200,OK,AllScreens 1-3,text,true,,53952,1219,5,5,http://172.16.33.16/api/messagemaster/find,2093,0,0
1720093551309,1070,Login,200,OK,AllScreens 1-5,text,true,,141545,858,5,5,http://172.16.33.16/api/auth/token,1037,0,1
1720093553099,107,VIM Dashboard/api/getnewids,200,OK,AllScreens 1-2,text,true,,742,1098,5,5,http://172.16.33.16/api/getnewids?_dc=1720093553100,107,0,0
1720093553113,199,VIM_Visit_Type/api/tpmadmin/visittype/find,200,OK,AllScreens 1-3,text,true,,7052,1146,5,5,http://172.16.33.16/api/tpmadmin/visittype/find,198,0,0
1720093553715,142,VIM_Visitor/api/country/find,200,OK,AllScreens 1-4,text,true,,6920,1135,6,6,http://172.16.33.16/api/country/find,141,0,0
