timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719321149991,2677,AdminLogin,200,OK,setUp Thread Group 1-1,text,true,,141384,801,1,1,http://172.16.33.16/api/auth/token,2634,0,3
1719321153313,740,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-2,text,true,,566,2885,3,3,http://172.16.33.16:9096/api/Hl7Message,740,0,3
1719321152823,1209,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-1,text,true,,567,2885,3,3,http://172.16.33.16:9096/api/Hl7Message,1209,0,2
1719321153718,332,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-3,text,true,,566,2885,3,3,http://172.16.33.16:9096/api/Hl7Message,332,0,2
1719321154170,211,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-4,text,true,,565,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,211,0,3
1719321155520,215,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-7,text,true,,565,2885,3,3,http://172.16.33.16:9096/api/Hl7Message,215,0,2
1719321155069,230,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-6,text,true,,565,2885,2,2,http://172.16.33.16:9096/api/Hl7Message,230,0,4
1719321154615,194,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-5,text,true,,565,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,194,0,2
1719321156868,188,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-10,text,true,,565,2885,3,3,http://172.16.33.16:9096/api/Hl7Message,188,0,2
1719321156422,287,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-9,text,true,,566,2885,2,2,http://172.16.33.16:9096/api/Hl7Message,287,0,3
1719321155965,344,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-8,text,true,,566,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,344,0,4
1719321157314,211,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-11,text,true,,565,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,211,0,3
1719321158222,144,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-13,text,true,,565,2885,2,2,http://172.16.33.16:9096/api/Hl7Message,144,0,4
1719321157766,166,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-12,text,true,,565,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,166,0,3
1719321158673,164,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-14,text,true,,565,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,163,0,3
1719321159570,239,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-16,text,true,,566,2885,2,2,http://172.16.33.16:9096/api/Hl7Message,239,0,3
1719321159127,262,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-15,text,true,,566,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,262,0,3
1719321160021,167,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-17,text,true,,565,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,167,0,3
1719321161371,177,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-20,text,true,,565,2885,3,3,http://172.16.33.16:9096/api/Hl7Message,177,0,2
1719321160917,190,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-19,text,true,,565,2885,2,2,http://172.16.33.16:9096/api/Hl7Message,190,0,3
1719321160478,163,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-18,text,true,,565,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,163,0,29
1719321161836,175,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-21,text,true,,565,2885,1,1,http://172.16.33.16:9096/api/Hl7Message,175,0,2
1719321162274,684,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-22,text,true,,565,2885,2,2,http://172.16.33.16:9096/api/Hl7Message,684,0,2
1719321162728,221,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-23,text,true,,565,2885,2,2,http://172.16.33.16:9096/api/Hl7Message,221,0,3
1719321163618,129,PatientCreation-A01_/api/Hl7Message,200,OK,PatientCreation-A01 1-25,text,true,,565,2885,2,2,http://172.16.33.16:9096/api/Hl7Message,129,0,3
