timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730794066334,1698,AdminLogin,200,OK,setUp Thread Group 1-1,text,true,,154194,801,1,1,http://172.16.16.70/api/auth/token,814,0,4
1730794069698,97,VIM_getnewids,200,OK,VIM 1-1,text,true,,744,1083,1,1,http://172.16.16.70/api/getnewids,96,0,4
1730794073846,295,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1029,1472,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,295,0,0
1730794075267,635,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1220,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,635,0,0
1730794079345,167,VIM_getnewids,200,OK,VIM 1-1,text,true,,736,1083,1,1,http://172.16.16.70/api/getnewids,167,0,0
1730794080784,250,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1030,1472,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,249,0,0
1730794083460,557,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1218,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,556,0,0
1730794087195,150,VIM_getnewids,200,OK,VIM 1-1,text,true,,744,1083,1,1,http://172.16.16.70/api/getnewids,150,0,0
1730794088031,207,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1029,1472,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,206,0,0
1730794089681,504,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1219,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,504,0,0
1730794092614,109,VIM_getnewids,200,OK,VIM 1-1,text,true,,742,1083,1,1,http://172.16.16.70/api/getnewids,109,0,0
1730794094476,192,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1029,1472,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,192,0,0
1730794099552,3347,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1219,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,3347,0,0
1730794106350,122,VIM_getnewids,200,OK,VIM 1-1,text,true,,736,1083,1,1,http://172.16.16.70/api/getnewids,122,0,0
1730794107740,189,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1029,1472,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,188,0,0
1730794109378,437,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1218,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,437,0,0
1730794112219,136,VIM_getnewids,200,OK,VIM 1-1,text,true,,742,1083,1,1,http://172.16.16.70/api/getnewids,135,0,0
1730794116178,187,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1030,1476,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,187,0,0
1730794120035,433,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1219,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,433,0,0
1730794120835,177,VIM_getnewids,200,OK,VIM 1-1,text,true,,734,1083,1,1,http://172.16.16.70/api/getnewids,177,0,0
1730794123420,184,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1028,1476,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,184,0,0
1730794123608,370,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1224,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,370,0,0
1730794127487,125,VIM_getnewids,200,OK,VIM 1-1,text,true,,742,1083,1,1,http://172.16.16.70/api/getnewids,125,0,0
1730794131928,187,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1030,1476,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,187,0,3
1730794136781,406,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1217,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,406,0,0
1730794137696,140,VIM_getnewids,200,OK,VIM 1-1,text,true,,734,1083,1,1,http://172.16.16.70/api/getnewids,140,0,0
1730794142654,209,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1032,1476,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,209,0,0
1730794146524,385,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1217,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,385,0,0
1730794148972,144,VIM_getnewids,200,OK,VIM 1-1,text,true,,743,1083,1,1,http://172.16.16.70/api/getnewids,144,0,0
1730794152155,198,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1030,1476,1,1,http://172.16.16.70/api/tpmadmin/visitors/save,198,0,0
1730794152987,387,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1218,1821,1,1,http://172.16.16.70/api/tpmadmin/visit/save,387,0,0
