timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715582025556,698,AdminLogin,200,OK,setUp Thread Group 1-1,text,true,,134701,801,1,1,http://172.16.33.16/api/auth/token,657,0,10
1715582026264,660,PGIRLogin,200,OK,setUp Thread Group 1-1,text,true,,134738,798,1,1,http://172.16.33.16/api/auth/token,623,0,0
1715582026935,674,SecurityAdminLogin,200,OK,setUp Thread Group 1-1,text,true,,134219,807,1,1,http://172.16.33.16/api/auth/token,633,0,0
1715582029406,102,VIM_getnewids,200,OK,VIM 1-1,text,true,,741,1101,1,1,http://172.16.33.16/api/getnewids,102,0,9
1715582030769,590,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1014,1490,1,1,http://172.16.33.16/api/tpmadmin/visitors/save,590,0,0
1715582031479,690,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1175,1839,1,1,http://172.16.33.16/api/tpmadmin/visit/save,690,0,0
1715582034055,15540,VIM/api/tpm/visitorsvisits/save,200,OK,VIM 1-1,text,true,,1144,1324,1,1,http://172.16.33.16/api/tpm/visitorsvisits/save,15539,0,0
1715582051241,152,VIM_getnewids,200,OK,VIM 1-1,text,true,,743,1101,1,1,http://172.16.33.16/api/getnewids,152,0,0
1715582051764,256,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1013,1490,1,1,http://172.16.33.16/api/tpmadmin/visitors/save,256,0,0
1715582052458,242,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1172,1839,1,1,http://172.16.33.16/api/tpmadmin/visit/save,242,0,0
1715582053251,14927,VIM/api/tpm/visitorsvisits/save,200,OK,VIM 1-1,text,true,,2007,1324,1,1,http://172.16.33.16/api/tpm/visitorsvisits/save,14927,0,0
1715582069432,126,VIM_getnewids,200,OK,VIM 1-1,text,true,,739,1101,1,1,http://172.16.33.16/api/getnewids,126,0,0
1715582071503,219,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1013,1490,1,1,http://172.16.33.16/api/tpmadmin/visitors/save,219,0,0
1715582072485,326,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1175,1839,1,1,http://172.16.33.16/api/tpmadmin/visit/save,326,0,0
1715582073532,15139,VIM/api/tpm/visitorsvisits/save,200,OK,VIM 1-1,text,true,,2017,1324,1,1,http://172.16.33.16/api/tpm/visitorsvisits/save,15139,0,0
1715582089508,129,VIM_getnewids,200,OK,VIM 1-1,text,true,,742,1101,1,1,http://172.16.33.16/api/getnewids,129,0,25
1715582090926,193,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1013,1490,1,1,http://172.16.33.16/api/tpmadmin/visitors/save,193,0,0
1715582091513,306,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1175,1839,1,1,http://172.16.33.16/api/tpmadmin/visit/save,306,0,0
1715582091866,20391,VIM/api/tpm/visitorsvisits/save,200,OK,VIM 1-1,text,true,,1999,1324,1,1,http://172.16.33.16/api/tpm/visitorsvisits/save,20391,0,0
1715582113009,128,VIM_getnewids,200,OK,VIM 1-1,text,true,,736,1101,1,1,http://172.16.33.16/api/getnewids,128,0,0
1715582115134,229,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1013,1490,1,1,http://172.16.33.16/api/tpmadmin/visitors/save,229,0,0
1715582115610,259,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1172,1839,1,1,http://172.16.33.16/api/tpmadmin/visit/save,259,0,0
1715582117269,15931,VIM/api/tpm/visitorsvisits/save,200,OK,VIM 1-1,text,true,,1998,1324,1,1,http://172.16.33.16/api/tpm/visitorsvisits/save,15931,0,0
1715582134639,137,VIM_getnewids,200,OK,VIM 1-1,text,true,,743,1101,1,1,http://172.16.33.16/api/getnewids,136,0,0
1715582135396,192,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1012,1490,1,1,http://172.16.33.16/api/tpmadmin/visitors/save,192,0,0
1715582136203,264,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1173,1839,1,1,http://172.16.33.16/api/tpmadmin/visit/save,264,0,0
1715582136499,15006,VIM/api/tpm/visitorsvisits/save,200,OK,VIM 1-1,text,true,,2001,1324,1,1,http://172.16.33.16/api/tpm/visitorsvisits/save,15005,0,0
1715582152138,109,VIM_getnewids,200,OK,VIM 1-1,text,true,,740,1101,1,1,http://172.16.33.16/api/getnewids,109,0,7
1715582154118,165,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1012,1490,1,1,http://172.16.33.16/api/tpmadmin/visitors/save,164,0,0
1715582155204,292,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1174,1839,1,1,http://172.16.33.16/api/tpmadmin/visit/save,292,0,0
1715582156158,14920,VIM/api/tpm/visitorsvisits/save,200,OK,VIM 1-1,text,true,,2009,1324,1,1,http://172.16.33.16/api/tpm/visitorsvisits/save,14920,0,0
1715582172909,126,VIM_getnewids,200,OK,VIM 1-1,text,true,,743,1101,1,1,http://172.16.33.16/api/getnewids,126,0,0
1715582174893,189,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1013,1494,1,1,http://172.16.33.16/api/tpmadmin/visitors/save,189,0,0
1715582176499,255,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1175,1839,1,1,http://172.16.33.16/api/tpmadmin/visit/save,255,0,0
1715582177174,14820,VIM/api/tpm/visitorsvisits/save,200,OK,VIM 1-1,text,true,,1998,1324,1,1,http://172.16.33.16/api/tpm/visitorsvisits/save,14820,0,0
1715582192551,111,VIM_getnewids,200,OK,VIM 1-1,text,true,,740,1101,1,1,http://172.16.33.16/api/getnewids,111,0,0
1715582193303,220,VIM/api/tpmadmin/visitors/save,200,OK,VIM 1-1,text,true,,1012,1494,1,1,http://172.16.33.16/api/tpmadmin/visitors/save,220,0,0
1715582194023,310,VIM/api/tpmadmin/visit/save,200,OK,VIM 1-1,text,true,,1173,1839,1,1,http://172.16.33.16/api/tpmadmin/visit/save,310,0,0
1715582196328,14691,VIM/api/tpm/visitorsvisits/save,200,OK,VIM 1-1,text,true,,2009,1324,1,1,http://172.16.33.16/api/tpm/visitorsvisits/save,14691,0,0
