timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717493152639,1203,AdminLogin,200,OK,setUp Thread Group 1-1,text,true,,134477,809,1,1,https://coa-uat.alerthsc.com/api/auth/token,1057,0,252
1717493155985,309,VIM_dev_getnewids,200,OK,VIM_dev 1-1,text,true,,635,1112,1,1,https://coa-uat.alerthsc.com/api/getnewids,309,0,233
1717493156322,240,VIM_dev/api/tpmadmin/visitors/save,200,OK,VIM_dev 1-1,text,true,,933,1513,1,1,https://coa-uat.alerthsc.com/api/tpmadmin/visitors/save,240,0,0
1717493157448,324,VIM_dev/api/tpmadmin/visit/save,200,OK,VIM_dev 1-1,text,true,,1110,1850,1,1,https://coa-uat.alerthsc.com/api/tpmadmin/visit/save,323,0,0
1717493159352,74,VIM_dev_getnewids,200,OK,VIM_dev 1-1,text,true,,645,1112,1,1,https://coa-uat.alerthsc.com/api/getnewids,74,0,0
1717493160178,233,VIM_dev/api/tpmadmin/visitors/save,200,OK,VIM_dev 1-1,text,true,,932,1513,1,1,https://coa-uat.alerthsc.com/api/tpmadmin/visitors/save,233,0,0
1717493161796,296,VIM_dev/api/tpmadmin/visit/save,200,OK,VIM_dev 1-1,text,true,,1115,1850,1,1,https://coa-uat.alerthsc.com/api/tpmadmin/visit/save,296,0,0
1717493163868,74,VIM_dev_getnewids,200,OK,VIM_dev 1-1,text,true,,636,1112,1,1,https://coa-uat.alerthsc.com/api/getnewids,74,0,0
1717493165498,184,VIM_dev/api/tpmadmin/visitors/save,200,OK,VIM_dev 1-1,text,true,,932,1513,1,1,https://coa-uat.alerthsc.com/api/tpmadmin/visitors/save,183,0,0
1717493165942,286,VIM_dev/api/tpmadmin/visit/save,200,OK,VIM_dev 1-1,text,true,,1112,1850,1,1,https://coa-uat.alerthsc.com/api/tpmadmin/visit/save,286,0,0
1717493167281,73,VIM_dev_getnewids,200,OK,VIM_dev 1-1,text,true,,639,1112,1,1,https://coa-uat.alerthsc.com/api/getnewids,73,0,0
1717493169083,221,VIM_dev/api/tpmadmin/visitors/save,200,OK,VIM_dev 1-1,text,true,,932,1513,1,1,https://coa-uat.alerthsc.com/api/tpmadmin/visitors/save,221,0,0
