timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734505624569,2662,Login,200,OK,setUp Thread Group-Login 1-1,text,true,,295470,821,1,1,https://passportal-dcuat.alerthsc.com/api/auth/token,1875,0,432
1734505627319,1062,SALogin,200,OK,setUp Thread Group-Login 1-1,text,true,,295491,821,1,1,https://passportal-dcuat.alerthsc.com/api/auth/token,745,0,0
1734505628739,2137,Login,200,OK,MoveOut 5-1,text,true,,295479,1218,1,3,https://passportal-dcuat.alerthsc.com/api/auth/token,1258,0,345
1734505628752,1988,Login,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,295482,1218,1,3,https://passportal-dcuat.alerthsc.com/api/auth/token,1233,0,331
1734505631637,240,VIM Dashboard/api/identity/ui/1,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,1184,1073,1,3,https://passportal-dcuat.alerthsc.com/api/identity/ui/1,240,0,0
1734505632102,192,VIM Dashboard/api/idm/identitylocation/find,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,870,1258,1,3,https://passportal-dcuat.alerthsc.com/api/idm/identitylocation/find,192,0,0
1734505630715,1938,Login,200,OK,GroupCases 4-1,text,true,,295478,1218,1,3,https://passportal-dcuat.alerthsc.com/api/auth/token,1183,0,322
1734505630875,2121,MoveOut-/api/tpmadmin/visit/moveout,200,OK,MoveOut 5-1,text,true,,625,1256,1,3,https://passportal-dcuat.alerthsc.com/api/tpmadmin/visit/moveout,2121,0,0
1734505632998,220,VIM Dashboard/api/assettype/find,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,1218,1144,1,2,https://passportal-dcuat.alerthsc.com/api/assettype/find?_dc=1734505632997,220,0,0
1734505633835,228,VIM Dashboard/api/asset/find,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,503,1231,1,2,https://passportal-dcuat.alerthsc.com/api/asset/find?_dc=1734505633835,228,0,0
1734505634655,155,GroupCases-/api/getnewids,200,OK,GroupCases 4-1,text,true,,642,1069,1,2,https://passportal-dcuat.alerthsc.com/api/getnewids,155,0,0
1734505635008,190,VIM Dashboard/api/getnewids,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,636,1087,1,2,https://passportal-dcuat.alerthsc.com/api/getnewids?_dc=1734505635008,190,0,0
1734505635602,160,VIM Dashboard/api/lists/find,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,802,1195,1,2,https://passportal-dcuat.alerthsc.com/api/lists/find?_dc=1734505635602,160,0,0
1734505636812,55,GroupVisitPayloadGeneration,200,OK,GroupCases 4-1,text,true,,0,0,1,2,null,0,0,0
1734505636891,159,VIM Dashboard/api/lists/find-2,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,749,1223,1,2,https://passportal-dcuat.alerthsc.com/api/lists/find?_dc=1734505636892,159,0,0
1734505638012,161,VIM Dashboard/api/lists/find-3,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,812,1231,1,2,https://passportal-dcuat.alerthsc.com/api/lists/find?_dc=1734505638013,161,0,0
1734505638727,157,VIM Dashboard/api/lists/find-4,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,504,1218,1,3,https://passportal-dcuat.alerthsc.com/api/lists/find?_dc=1734505638728,157,0,0
1734505638869,592,GroupCasesGroupVisitCreation20,200,OK,GroupCases 4-1,text,true,,1375,5497,1,3,https://passportal-dcuat.alerthsc.com/api/tpmadmin/visit/save,591,0,0
1734505639765,158,VIM Dashboard/api/lists/find-5,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,850,1223,1,3,https://passportal-dcuat.alerthsc.com/api/lists/find?_dc=1734505639766,158,0,0
1734505640247,159,VIM Dashboard/api/lists/find-6,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,727,1228,1,3,https://passportal-dcuat.alerthsc.com/api/lists/find?_dc=1734505640247,159,0,0
1734505641534,158,VIM Dashboard/api/lists/find-7,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,736,1225,1,4,https://passportal-dcuat.alerthsc.com/api/lists/find?_dc=1734505641534,158,0,0
1734505640470,1829,Login,200,OK,CompleteRegFlow 1-1,text,true,,295492,1218,2,4,https://passportal-dcuat.alerthsc.com/api/auth/token,1209,0,313
1734505644302,264,CompleteRegFlow-/api/getnewids,200,OK,CompleteRegFlow 1-1,text,true,,639,1069,4,7,https://passportal-dcuat.alerthsc.com/api/getnewids,264,0,0
1734505641521,3430,GroupCasesMassCheckIn20,200,OK,GroupCases 4-1,text,true,,1281,4507,1,7,https://passportal-dcuat.alerthsc.com/api/tpm/visitorsvisits/save,3430,0,0
1734505642058,3519,VIM Dashboard/api/accessrequesttype/find,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,68967,1153,1,7,https://passportal-dcuat.alerthsc.com/api/accessrequesttype/find?_dc=1734505642058,3514,0,0
1734505644472,2012,Login,200,OK,CompleteRegFlow 1-3,text,true,,295479,1218,5,8,https://passportal-dcuat.alerthsc.com/api/auth/token,1392,0,369
1734505646679,161,VIM Dashboard/api/lists/find-8,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,901,1226,1,8,https://passportal-dcuat.alerthsc.com/api/lists/find?_dc=1734505646679,161,0,0
1734505646565,393,CompleteRegFlow-/api/binaryresource/upload,201,Created,CompleteRegFlow 1-1,text,true,,10320,8328,5,8,https://passportal-dcuat.alerthsc.com/api/binaryresource/upload,392,0,0
1734505642474,4561,Login,200,OK,CompleteRegFlow 1-2,text,true,,295472,1218,5,8,https://passportal-dcuat.alerthsc.com/api/auth/token,3044,0,306
1734505645665,2017,Login,200,OK,WLRegFlow 2-1,text,true,,295490,1218,1,9,https://passportal-dcuat.alerthsc.com/api/auth/token,1210,0,311
1734505647713,197,VIM Dashboard/api/lists/find-9,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,655,1227,2,9,https://passportal-dcuat.alerthsc.com/api/lists/find?_dc=1734505647714,197,0,0
1734505646470,1980,Login,200,OK,CompleteRegFlow 1-4,text,true,,295482,1218,5,9,https://passportal-dcuat.alerthsc.com/api/auth/token,1230,0,336
1734505648483,156,CompleteRegFlow-/api/getnewids,200,OK,CompleteRegFlow 1-3,text,true,,639,1069,6,10,https://passportal-dcuat.alerthsc.com/api/getnewids,156,0,0
1734505649035,153,CompleteRegFlow-/api/getnewids,200,OK,CompleteRegFlow 1-2,text,true,,639,1069,6,11,https://passportal-dcuat.alerthsc.com/api/getnewids,153,0,0
1734505649684,154,WLRegFlow-/api/getnewids,200,OK,WLRegFlow 2-1,text,true,,639,1069,1,11,https://passportal-dcuat.alerthsc.com/api/getnewids,154,0,0
1734505648981,1531,VIM Dashboard/api/location/find,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,1213,1373,2,12,https://passportal-dcuat.alerthsc.com/api/location/find?_dc=1734505648982,1531,0,0
1734505650453,152,CompleteRegFlow-/api/getnewids,200,OK,CompleteRegFlow 1-4,text,true,,645,1069,7,12,https://passportal-dcuat.alerthsc.com/api/getnewids,152,0,0
1734505646975,3696,GroupCasesMassCheckOut20,200,OK,GroupCases 4-1,text,true,,1288,4487,1,12,https://passportal-dcuat.alerthsc.com/api/tpm/visitorsvisits/save,3695,0,0
1734505647496,3999,Login,200,OK,AllScreens-ModifiedWithVIM 9-2,text,true,,295477,1218,2,11,https://passportal-dcuat.alerthsc.com/api/auth/token,3175,0,306
1734505651190,660,CompleteRegFlow-/api/binaryresource/upload,201,Created,CompleteRegFlow 1-2,text,true,,10318,8321,7,11,https://passportal-dcuat.alerthsc.com/api/binaryresource/upload,660,0,0
1734505650642,1210,CompleteRegFlow-/api/binaryresource/upload,201,Created,CompleteRegFlow 1-3,text,true,,10321,8286,7,11,https://passportal-dcuat.alerthsc.com/api/binaryresource/upload,1209,0,0
1734505650985,886,VIM Dashboard/api/tpm/visitui/find,200,OK,AllScreens-ModifiedWithVIM 9-1,text,true,,1785,1601,2,11,https://passportal-dcuat.alerthsc.com/api/tpm/visitui/find?_dc=1734505650984,886,0,0
1734505648959,3003,CompleteRegFlow-/api/tpmadmin/visitors/save,200,OK,CompleteRegFlow 1-1,text,true,,890,1378,7,10,https://passportal-dcuat.alerthsc.com/api/tpmadmin/visitors/save,3003,0,0
1734505651841,262,WLRegFlow-/api/watchlist/save,200,OK,WLRegFlow 2-1,text,true,,910,1377,1,10,https://passportal-dcuat.alerthsc.com/api/watchlist/save?_dc=1734505651840,262,0,0
1734505648471,3766,Login,200,OK,CompleteRegFlow 1-5,text,true,,295465,1218,7,10,https://passportal-dcuat.alerthsc.com/api/auth/token,3040,0,314
1734505648690,3551,Login,200,OK,CopyVisit 3-1,text,true,,295499,1218,1,10,https://passportal-dcuat.alerthsc.com/api/auth/token,2747,0,316
1734505651808,707,VIM_Visit_Type/api/messagemaster/find,200,OK,AllScreens-ModifiedWithVIM 9-2,text,true,,4498,1207,1,11,https://passportal-dcuat.alerthsc.com/api/messagemaster/find,706,0,0
1734505652606,368,CompleteRegFlow-/api/binaryresource/upload,201,Created,CompleteRegFlow 1-4,text,true,,10320,8321,8,11,https://passportal-dcuat.alerthsc.com/api/binaryresource/upload,368,0,0
1734505652242,889,CopyVisit-/api/tpmadmin/visit/find,200,OK,CopyVisit 3-1,text,true,,10766,1366,1,11,https://passportal-dcuat.alerthsc.com/api/tpmadmin/visit/find,888,0,0
1734505652928,241,VIM_Visit_Type/api/tpmadmin/visittype/find,200,OK,AllScreens-ModifiedWithVIM 9-2,text,true,,5085,1135,1,11,https://passportal-dcuat.alerthsc.com/api/tpmadmin/visittype/find,241,0,0
1734505650472,2721,Login,200,OK,CompleteRegFlow 1-6,text,true,,295511,1218,8,11,https://passportal-dcuat.alerthsc.com/api/auth/token,1947,0,362
1734505653133,399,CopyVisit-/api/tpmadmin/visit/copyobject,200,OK,CopyVisit 3-1,text,true,,2859,1150,1,11,https://passportal-dcuat.alerthsc.com/api/tpmadmin/visit/copyobject,399,0,0
1734505653462,187,VIM_Visit_Type/api/tpmadmin/visittype/602,200,OK,AllScreens-ModifiedWithVIM 9-2,text,true,,4184,1107,1,10,https://passportal-dcuat.alerthsc.com/api/tpmadmin/visittype/600?_dc=1734505653461&id=600,187,0,0
1734505653851,293,CompleteRegFlow-/api/tpmadmin/visitors/save,200,OK,CompleteRegFlow 1-2,text,true,,891,1378,8,10,https://passportal-dcuat.alerthsc.com/api/tpmadmin/visitors/save,293,0,0
1734505653854,304,CompleteRegFlow-/api/tpmadmin/visitors/save,200,OK,CompleteRegFlow 1-3,text,true,,890,1378,8,10,https://passportal-dcuat.alerthsc.com/api/tpmadmin/visitors/save,304,0,0
