timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710827467862,912,BadgeAdminLogin-Admin-/api/auth/token,200,OK,setUp Thread Group 1-1,text,true,,209035,807,1,1,http://172.16.33.16/api/auth/token,861,0,3
1710827468829,819,AdminLogin-Admin-/api/auth/token,200,OK,setUp Thread Group 1-1,text,true,,193229,801,1,1,http://172.16.33.16/api/auth/token,779,0,0
1710827469763,733,Login,200,OK,AllScreens 1-1,text,true,,193233,858,1,1,http://172.16.33.16/api/auth/token,681,0,31
1710827471019,130,Access_AccessGroup-api/accessgrouptype/find,200,OK,AllScreens 1-1,text,true,,992,1178,1,1,http://172.16.33.16/api/accessgrouptype/find?_dc=1710827471019,130,0,0
1710827471389,154,Access_AccessGroup-api/accessgroup/find,200,OK,AllScreens 1-1,text,true,,1511,1411,1,1,http://172.16.33.16/api/accessgroup/find,154,0,0
1710827474105,680,Login,200,OK,AllScreens 1-2,text,true,,193230,858,1,1,http://172.16.33.16/api/auth/token,638,0,3
1710827475099,147,Access_AccessGrouptype-api/accessgrouptype/find,200,OK,AllScreens 1-2,text,true,,992,1160,1,1,http://172.16.33.16/api/accessgrouptype/find,147,0,0
1710827478445,695,Login,200,OK,AllScreens 1-3,text,true,,193243,858,1,1,http://172.16.33.16/api/auth/token,651,0,2
1710827479551,121,Access_AccessReview-api/lists/find,200,OK,AllScreens 1-3,text,true,,855,1239,1,1,http://172.16.33.16/api/lists/find,121,0,0
1710827479933,566,Access_AccessReview-api/accessreview/find,200,OK,AllScreens 1-3,text,true,,211181,1228,1,1,http://172.16.33.16/api/accessreview/find,512,0,0
1710827482789,800,Login,200,OK,AllScreens 1-4,text,true,,193231,858,1,1,http://172.16.33.16/api/auth/token,714,0,2
1710827483933,127,Access_AnalyticsMasterConfig-api/getnewids,200,OK,AllScreens 1-4,text,true,,743,1115,1,1,http://172.16.33.16/api/getnewids?_dc=1710827483933,127,0,0
1710827484384,384,Access_AnalyticsMasterConfig-api/analytics/find,200,OK,AllScreens 1-4,text,true,,23356,1305,1,1,http://172.16.33.16/api/analytics/find,353,0,0
1710827487136,681,Login,200,OK,AllScreens 1-5,text,true,,193232,858,1,1,http://172.16.33.16/api/auth/token,633,0,3
1710827488162,225,Access_ManageAccess-api/access/find,200,OK,AllScreens 1-5,text,true,,6634,1366,1,1,http://172.16.33.16/api/access/find,224,0,0
1710827491484,707,Login,200,OK,AllScreens 1-6,text,true,,193240,858,1,1,http://172.16.33.16/api/auth/token,667,0,2
1710827492621,157,Access_ManageAccessType-api/accesstype/find,200,OK,AllScreens 1-6,text,true,,964,1155,1,1,http://172.16.33.16/api/accesstype/find,157,0,0
1710827495840,768,Login,200,OK,AllScreens 1-7,text,true,,193241,858,1,1,http://172.16.33.16/api/auth/token,727,0,4
1710827496941,138,Access_Prerequisite-api/getnewids,200,OK,AllScreens 1-7,text,true,,737,1115,1,1,http://172.16.33.16/api/getnewids?_dc=1710827496941,138,0,0
1710827497366,120,Access_Prerequisite-api/lists/find,200,OK,AllScreens 1-7,text,true,,756,1236,1,1,http://172.16.33.16/api/lists/find,120,0,0
1710827497778,10163,Access_Prerequisite-api/prerequisite/find,200,OK,AllScreens 1-7,text,true,,2772,1228,3,3,http://172.16.33.16/api/prerequisite/find,612,0,0
1710827504533,4241,Login,200,OK,AllScreens 1-9,text,true,,193238,858,2,2,http://172.16.33.16/api/auth/token,4185,0,2
1710827500187,8608,Login,200,OK,AllScreens 1-8,text,true,,193228,858,2,2,http://172.16.33.16/api/auth/token,8555,0,2
1710827509613,203,Access_PrerequisiteType-api/prerequisitetype/find,200,OK,AllScreens 1-8,text,true,,1198,1161,3,3,http://172.16.33.16/api/prerequisitetype/find,203,0,0
1710827509138,666,Login,200,OK,AllScreens 1-10,text,true,,193239,858,3,3,http://172.16.33.16/api/auth/token,623,0,2
