Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,570,1442,1363,1697,1896,4278,1055,4391,0.000%,.94931,123.74,0.75
Access_AccessGroup-api/accessgrouptype/find,9,142,132,170,245,245,99,245,0.000%,.01549,0.02,0.02
Access_AccessGrouptype-api/accessgrouptype/find,9,155,150,184,257,257,108,257,0.000%,.01548,0.02,0.02
Access_AccessGroup-api/accessgroup/find,9,188,194,218,220,220,123,220,0.000%,.01549,0.02,0.02
Access_AccessReview-api/lists/find,9,190,188,223,283,283,123,283,0.000%,.01547,0.01,0.02
Access_AccessReview-api/accessreview/find,9,817,814,879,905,905,717,905,0.000%,.01545,2.60,0.02
Access_ManageAccess-api/access/find,9,582,546,657,774,774,481,774,0.000%,.01546,0.21,0.02
Access_ManageAccessType-api/accesstype/find,9,170,172,204,219,219,121,219,0.000%,.01547,0.02,0.02
Login-Admin-/api/auth/token,430,1401,1359,1653,1791,1946,1044,4744,0.000%,.70015,91.26,0.59
Access_Prerequisite-api/getnewids,9,119,116,158,173,173,79,173,0.000%,.01547,0.01,0.02
Access_AnalyticsMasterConfig-api/getnewids,9,111,107,133,151,151,76,151,0.000%,.01555,0.01,0.02
Access_Prerequisite-api/lists/find,9,187,175,268,309,309,121,309,0.000%,.01547,0.01,0.02
Extend Validity_getnewids,30,135,120,206,211,265,85,265,0.000%,.05156,0.04,0.05
Access_Prerequisite-api/prerequisite/find,9,201,207,248,249,249,146,249,0.000%,.01547,0.03,0.02
Access_PrerequisiteType-api/prerequisitetype/find,9,176,183,235,258,258,117,258,0.000%,.01546,0.02,0.02
Access_ReviewType-api/reviewtype/find,9,961,954,1048,1188,1188,822,1188,0.000%,.01545,2.78,0.02
Contingent Worker Hiring_getnewids,10,113,110,128,128,161,86,161,0.000%,.01847,0.01,0.02
Access_UserProfile-api/classdef/find,9,230,235,291,295,295,150,295,0.000%,.01548,0.11,0.02
