timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708613166691,1106,Login-Admin-/api/auth/token,200,OK,setUp Thread Group 1-1,text,true,,143957,802,1,1,http://172.16.33.16/api/auth/token,1062,0,2
1708613172962,695,Login,200,OK,VIMScreens 2-1,text,true,,143964,859,1,1,http://172.16.33.16/api/auth/token,658,0,2
1708613174155,882,Login,200,OK,VIMScreens 2-2,text,true,,143962,859,2,2,http://172.16.33.16/api/auth/token,839,0,2
1708613174046,1047,VIM_Visit-/api/tpmadmin/visit/find1,200,OK,VIMScreens 2-1,text,true,,3839,1362,2,2,http://172.16.33.16/api/tpmadmin/visit/find,1047,0,0
1708613175280,892,VIM_NERCVisitorReg-/api/tpmadmin/visit/find1,200,OK,VIMScreens 2-2,text,true,,3840,1362,3,3,http://172.16.33.16/api/tpmadmin/visit/find,892,0,0
1708613175357,857,Login,200,OK,VIMScreens 2-3,text,true,,143966,859,3,3,http://172.16.33.16/api/auth/token,824,0,3
1708613175573,908,VIM_Visit-/api/tpmadmin/visit/find2,200,OK,VIMScreens 2-1,text,true,,3868,1363,3,3,http://172.16.33.16/api/tpmadmin/visit/find,908,0,0
1708613176607,794,VIM_NERCVisitorReg-/api/tpmadmin/visit/find2,200,OK,VIMScreens 2-2,text,true,,3868,1363,4,4,http://172.16.33.16/api/tpmadmin/visit/find,794,0,0
1708613176654,776,VIM_VisitorPreRegistration-/api/tpmadmin/visit/find1,200,OK,VIMScreens 2-3,text,true,,3837,1362,4,4,http://172.16.33.16/api/tpmadmin/visit/find,776,0,0
1708613176556,879,Login,200,OK,VIMScreens 2-4,text,true,,143962,859,4,4,http://172.16.33.16/api/auth/token,831,0,2
1708613176695,951,VIM_Visit-/api/tpmadmin/visit/find3,200,OK,VIMScreens 2-1,text,true,,3834,1363,4,4,http://172.16.33.16/api/tpmadmin/visit/find,950,0,0
1708613177709,193,VIM_Watchlist-/api/classdef/find,200,OK,VIMScreens 2-4,text,true,,3137,1207,5,5,http://172.16.33.16/api/classdef/find,193,0,0
1708613178020,97,api/getnewids,200,OK,VIMCases 1-1,text,true,,739,1101,1,6,http://172.16.33.16/api/getnewids,97,0,2
1708613178036,178,VIM_Visit-/api/tpmadmin/visitmicro/4727008194144113,200,OK,VIMScreens 2-1,text,true,,821,1128,5,6,http://172.16.33.16/api/tpmadmin/visitmicro/4727008194144113,178,0,0
1708613177693,655,VIM_NERCVisitorReg-/api/tpmadmin/visit/find3,200,OK,VIMScreens 2-2,text,true,,3835,1363,5,6,http://172.16.33.16/api/tpmadmin/visit/find,655,0,0
1708613178123,252,VIM_Watchlist-/api/country/find,200,OK,VIMScreens 2-4,text,true,,6921,1156,5,6,http://172.16.33.16/api/country/find,251,0,0
1708613177854,731,VIM_VisitorPreRegistration-/api/tpmadmin/visit/find2,200,OK,VIMScreens 2-3,text,true,,3869,1363,5,6,http://172.16.33.16/api/tpmadmin/visit/find,730,0,0
