timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708439571177,840,Login-Admin-/api/auth/token,200,OK,setUp Thread Group 1-1,text,true,,143916,802,1,1,http://172.16.33.16/api/auth/token,799,0,3
1708439574013,77,api/getnewids,200,OK,VIMCases 1-1,text,true,,748,1101,1,1,http://172.16.33.16/api/getnewids,77,0,2
1708439574732,150,VisitorImageUpload,201,Created,VIMCases 1-1,text,true,,12513,11483,1,1,http://172.16.33.16/api/binaryresource/upload,150,0,0
1708439575291,121,VisitorImageDownload,200,OK,VIMCases 1-1,bin,true,,9962,1580,1,1,http://172.16.33.16/api/binaryresource/download/4724248387953020?dummy=1708432416755&Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJhZG1pbiIsImlzcyI6IlRoZVBsYXlBcHAiLCJzYXZlTG9nVG9EQiI6ZmFsc2UsImxhc3RfbmFtZSI6IiIsImFjY2Vzc0lkcyI6WzFdLCJpZCI6ImFkbWluIiwibG9jYWxlIjoiZW4iLCJleHAiOjE3MDg0NDY3NzEsImZpcnN0X25hbWUiOiJhZG1pbiIsInRlbmFudCI6ImFsZXJ0Iiwib3JnSWQiOjQxMjQxNTAyNTcxNDgzODV9.EeIC_17lbc8iPJSkzRZSdCE8jnzpmDW7qdeX07rY3ggB3G1bsKq914RRZkwuQCxXs_k9h44J1rH59YNpG34Wlw,95,0,0
1708439575620,392,VisitorCreation,200,OK,VIMCases 1-1,text,true,,966,1426,1,1,http://172.16.33.16/api/tpmadmin/visitors/save?,392,0,0
1708439577300,344,VisitCreation,200,OK,VIMCases 1-1,text,true,,1115,1867,1,1,http://172.16.33.16/api/tpmadmin/visit/save?,344,0,0
1708439579169,85,api/getnewids,200,OK,VIMCases 1-2,text,true,,736,1101,2,2,http://172.16.33.16/api/getnewids,85,0,2
1708439578729,945,CheckIn,200,OK,VIMCases 1-1,text,true,,1170,1321,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,945,0,0
1708439579696,794,CheckOut,200,OK,VIMCases 1-1,text,true,,1217,1344,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,794,0,0
1708439580472,134,VisitorImageUpload,201,Created,VIMCases 1-2,text,true,,12516,11511,2,2,http://172.16.33.16/api/binaryresource/upload,134,0,0
1708439580840,1,Debug Sampler,200,OK,VIMCases 1-1,text,true,,663,0,2,2,null,0,0,0
1708439582369,138,VisitorImageDownload,200,OK,VIMCases 1-2,bin,true,,9962,1580,1,1,http://172.16.33.16/api/binaryresource/download/4724248387953105?dummy=1708432416755&Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJhZG1pbiIsImlzcyI6IlRoZVBsYXlBcHAiLCJzYXZlTG9nVG9EQiI6ZmFsc2UsImxhc3RfbmFtZSI6IiIsImFjY2Vzc0lkcyI6WzFdLCJpZCI6ImFkbWluIiwibG9jYWxlIjoiZW4iLCJleHAiOjE3MDg0NDY3NzEsImZpcnN0X25hbWUiOiJhZG1pbiIsInRlbmFudCI6ImFsZXJ0Iiwib3JnSWQiOjQxMjQxNTAyNTcxNDgzODV9.EeIC_17lbc8iPJSkzRZSdCE8jnzpmDW7qdeX07rY3ggB3G1bsKq914RRZkwuQCxXs_k9h44J1rH59YNpG34Wlw,112,0,0
1708439583586,243,VisitorCreation,200,OK,VIMCases 1-2,text,true,,965,1422,1,1,http://172.16.33.16/api/tpmadmin/visitors/save?,243,0,0
1708439584964,276,VisitCreation,200,OK,VIMCases 1-2,text,true,,1124,1867,2,2,http://172.16.33.16/api/tpmadmin/visit/save?,276,0,0
1708439585586,75,api/getnewids,200,OK,VIMCases 1-3,text,true,,739,1101,2,2,http://172.16.33.16/api/getnewids,74,0,3
1708439585841,120,VisitorImageUpload,201,Created,VIMCases 1-3,text,true,,12517,11483,2,2,http://172.16.33.16/api/binaryresource/upload,119,0,0
1708439587454,180,VisitorImageDownload,200,OK,VIMCases 1-3,bin,true,,9962,1580,2,2,http://172.16.33.16/api/binaryresource/download/4724248387969292?dummy=1708432416755&Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJhZG1pbiIsImlzcyI6IlRoZVBsYXlBcHAiLCJzYXZlTG9nVG9EQiI6ZmFsc2UsImxhc3RfbmFtZSI6IiIsImFjY2Vzc0lkcyI6WzFdLCJpZCI6ImFkbWluIiwibG9jYWxlIjoiZW4iLCJleHAiOjE3MDg0NDY3NzEsImZpcnN0X25hbWUiOiJhZG1pbiIsInRlbmFudCI6ImFsZXJ0Iiwib3JnSWQiOjQxMjQxNTAyNTcxNDgzODV9.EeIC_17lbc8iPJSkzRZSdCE8jnzpmDW7qdeX07rY3ggB3G1bsKq914RRZkwuQCxXs_k9h44J1rH59YNpG34Wlw,148,0,0
1708439587198,608,CheckIn,200,OK,VIMCases 1-2,text,true,,1168,1321,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,608,0,0
1708439588450,278,VisitorCreation,200,OK,VIMCases 1-3,text,true,,969,1422,2,2,http://172.16.33.16/api/tpmadmin/visitors/save?,278,0,0
1708439589378,242,VisitCreation,200,OK,VIMCases 1-3,text,true,,1122,1867,2,2,http://172.16.33.16/api/tpmadmin/visit/save?,242,0,0
1708439589777,670,CheckOut,200,OK,VIMCases 1-2,text,true,,1212,1344,3,3,http://172.16.33.16/api/tpm/visitorsvisits/save,670,0,0
1708439591922,0,Debug Sampler,200,OK,VIMCases 1-2,text,true,,661,0,3,3,null,0,0,0
1708439591370,559,CheckIn,200,OK,VIMCases 1-3,text,true,,1171,1321,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,559,0,0
1708439592055,75,api/getnewids,200,OK,VIMCases 1-4,text,true,,737,1101,2,2,http://172.16.33.16/api/getnewids,75,0,4
1708439592437,158,VisitorImageUpload,201,Created,VIMCases 1-4,text,true,,12517,11511,2,2,http://172.16.33.16/api/binaryresource/upload,158,0,0
1708439592565,588,CheckOut,200,OK,VIMCases 1-3,text,true,,1219,1344,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,588,0,0
1708439593885,115,VisitorImageDownload,200,OK,VIMCases 1-4,bin,true,,9961,1580,2,2,http://172.16.33.16/api/binaryresource/download/4724248387969401?dummy=1708432416755&Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJhZG1pbiIsImlzcyI6IlRoZVBsYXlBcHAiLCJzYXZlTG9nVG9EQiI6ZmFsc2UsImxhc3RfbmFtZSI6IiIsImFjY2Vzc0lkcyI6WzFdLCJpZCI6ImFkbWluIiwibG9jYWxlIjoiZW4iLCJleHAiOjE3MDg0NDY3NzEsImZpcnN0X25hbWUiOiJhZG1pbiIsInRlbmFudCI6ImFsZXJ0Iiwib3JnSWQiOjQxMjQxNTAyNTcxNDgzODV9.EeIC_17lbc8iPJSkzRZSdCE8jnzpmDW7qdeX07rY3ggB3G1bsKq914RRZkwuQCxXs_k9h44J1rH59YNpG34Wlw,89,0,0
1708439595103,0,Debug Sampler,200,OK,VIMCases 1-3,text,true,,662,0,2,2,null,0,0,0
1708439595423,209,VisitorCreation,200,OK,VIMCases 1-4,text,true,,968,1426,1,1,http://172.16.33.16/api/tpmadmin/visitors/save?,209,0,0
1708439595801,251,VisitCreation,200,OK,VIMCases 1-4,text,true,,1119,1867,1,1,http://172.16.33.16/api/tpmadmin/visit/save?,251,0,0
1708439597882,87,api/getnewids,200,OK,VIMCases 1-5,text,true,,737,1101,2,2,http://172.16.33.16/api/getnewids,86,0,3
1708439597503,543,CheckIn,200,OK,VIMCases 1-4,text,true,,1169,1321,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,543,0,0
1708439599076,590,CheckOut,200,OK,VIMCases 1-4,text,true,,1214,1344,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,590,0,0
1708439599542,136,VisitorImageUpload,201,Created,VIMCases 1-5,text,true,,12515,11518,2,2,http://172.16.33.16/api/binaryresource/upload,136,0,0
1708439600335,114,VisitorImageDownload,200,OK,VIMCases 1-5,bin,true,,9961,1580,2,2,http://172.16.33.16/api/binaryresource/download/4724248387969514?dummy=1708432416755&Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJhZG1pbiIsImlzcyI6IlRoZVBsYXlBcHAiLCJzYXZlTG9nVG9EQiI6ZmFsc2UsImxhc3RfbmFtZSI6IiIsImFjY2Vzc0lkcyI6WzFdLCJpZCI6ImFkbWluIiwibG9jYWxlIjoiZW4iLCJleHAiOjE3MDg0NDY3NzEsImZpcnN0X25hbWUiOiJhZG1pbiIsInRlbmFudCI6ImFsZXJ0Iiwib3JnSWQiOjQxMjQxNTAyNTcxNDgzODV9.EeIC_17lbc8iPJSkzRZSdCE8jnzpmDW7qdeX07rY3ggB3G1bsKq914RRZkwuQCxXs_k9h44J1rH59YNpG34Wlw,87,0,0
1708439601092,0,Debug Sampler,200,OK,VIMCases 1-4,text,true,,663,0,2,2,null,0,0,0
1708439602172,229,VisitorCreation,200,OK,VIMCases 1-5,text,true,,968,1426,2,2,http://172.16.33.16/api/tpmadmin/visitors/save?,229,0,0
1708439603156,77,api/getnewids,200,OK,VIMCases 1-6,text,true,,740,1101,2,2,http://172.16.33.16/api/getnewids,76,0,2
1708439603935,272,VisitCreation,200,OK,VIMCases 1-5,text,true,,1123,1867,2,2,http://172.16.33.16/api/tpmadmin/visit/save?,272,0,0
1708439605198,147,VisitorImageUpload,201,Created,VIMCases 1-6,text,true,,12517,11483,2,2,http://172.16.33.16/api/binaryresource/upload,147,0,0
1708439606354,118,VisitorImageDownload,200,OK,VIMCases 1-6,bin,true,,9962,1580,2,2,http://172.16.33.16/api/binaryresource/download/4724248387985713?dummy=1708432416755&Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJhZG1pbiIsImlzcyI6IlRoZVBsYXlBcHAiLCJzYXZlTG9nVG9EQiI6ZmFsc2UsImxhc3RfbmFtZSI6IiIsImFjY2Vzc0lkcyI6WzFdLCJpZCI6ImFkbWluIiwibG9jYWxlIjoiZW4iLCJleHAiOjE3MDg0NDY3NzEsImZpcnN0X25hbWUiOiJhZG1pbiIsInRlbmFudCI6ImFsZXJ0Iiwib3JnSWQiOjQxMjQxNTAyNTcxNDgzODV9.EeIC_17lbc8iPJSkzRZSdCE8jnzpmDW7qdeX07rY3ggB3G1bsKq914RRZkwuQCxXs_k9h44J1rH59YNpG34Wlw,90,0,0
1708439606089,478,CheckIn,200,OK,VIMCases 1-5,text,true,,1170,1321,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,477,0,0
1708439606643,223,VisitorCreation,200,OK,VIMCases 1-6,text,true,,968,1426,2,2,http://172.16.33.16/api/tpmadmin/visitors/save?,223,0,0
1708439608781,329,VisitCreation,200,OK,VIMCases 1-6,text,true,,1128,1867,3,3,http://172.16.33.16/api/tpmadmin/visit/save?,329,0,0
1708439608392,720,CheckOut,200,OK,VIMCases 1-5,text,true,,1217,1344,3,3,http://172.16.33.16/api/tpm/visitorsvisits/save,720,0,0
1708439609137,78,api/getnewids,200,OK,VIMCases 1-7,text,true,,744,1101,3,3,http://172.16.33.16/api/getnewids,78,0,2
1708439610301,0,Debug Sampler,200,OK,VIMCases 1-5,text,true,,662,0,3,3,null,0,0,0
1708439610033,499,CheckIn,200,OK,VIMCases 1-6,text,true,,1171,1321,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,499,0,0
1708439610756,140,VisitorImageUpload,201,Created,VIMCases 1-7,text,true,,12517,11525,2,2,http://172.16.33.16/api/binaryresource/upload,140,0,0
1708439611879,574,CheckOut,200,OK,VIMCases 1-6,text,true,,1216,1344,2,2,http://172.16.33.16/api/tpm/visitorsvisits/save,574,0,0
1708439612328,134,VisitorImageDownload,200,OK,VIMCases 1-7,bin,true,,9962,1580,2,2,http://172.16.33.16/api/binaryresource/download/4724620827140372?dummy=1708432416755&Authorization=Bearer%20eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJ1c2VyX2lkIjoxLCJ1c2VyX25hbWUiOiJhZG1pbiIsImlzcyI6IlRoZVBsYXlBcHAiLCJzYXZlTG9nVG9EQiI6ZmFsc2UsImxhc3RfbmFtZSI6IiIsImFjY2Vzc0lkcyI6WzFdLCJpZCI6ImFkbWluIiwibG9jYWxlIjoiZW4iLCJleHAiOjE3MDg0NDY3NzEsImZpcnN0X25hbWUiOiJhZG1pbiIsInRlbmFudCI6ImFsZXJ0Iiwib3JnSWQiOjQxMjQxNTAyNTcxNDgzODV9.EeIC_17lbc8iPJSkzRZSdCE8jnzpmDW7qdeX07rY3ggB3G1bsKq914RRZkwuQCxXs_k9h44J1rH59YNpG34Wlw,99,0,0
1708439613645,1,Debug Sampler,200,OK,VIMCases 1-6,text,true,,663,0,2,2,null,0,0,0
1708439614422,92,api/getnewids,200,OK,VIMCases 1-8,text,true,,739,1101,2,2,http://172.16.33.16/api/getnewids,91,0,3
1708439614286,253,VisitorCreation,200,OK,VIMCases 1-7,text,true,,973,1426,2,2,http://172.16.33.16/api/tpmadmin/visitors/save?,252,0,0
1708439615645,129,VisitorImageUpload,201,Created,VIMCases 1-8,text,true,,12516,11497,2,2,http://172.16.33.16/api/binaryresource/upload,129,0,0
1708439615679,261,VisitCreation,200,OK,VIMCases 1-7,text,true,,1127,1867,2,2,http://172.16.33.16/api/tpmadmin/visit/save?,260,0,0
