timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709296161090,787,Login,200,OK,AllScreens 1-1,text,true,,90390,858,1,1,http://172.16.33.16/api/auth/token,753,0,2
1709296161959,97,api/getnewids,200,OK,AuditorOnboarding 2-1,text,true,,744,1023,1,3,http://172.16.33.16/api/getnewids?_dc=1709296161957,97,0,1
1709296161962,95,api/getnewids,200,OK,RequestAccess_SubmitRequest 3-1,text,true,,736,1023,1,3,http://172.16.33.16/api/getnewids?_dc=1709296161961,95,0,1
1709296162533,143,Access_AccessGroup-api/accessgrouptype/find,200,OK,AllScreens 1-1,text,true,,868,1237,1,3,http://172.16.33.16/api/accessgrouptype/find?_dc=1709296162533,143,0,0
1709296162960,188,Access_AccessGroup-api/accessgroup/find,200,OK,AllScreens 1-1,text,true,,1301,1470,1,3,http://172.16.33.16/api/accessgroup/find,187,0,0
1709296163310,796,Login,200,OK,AllScreens 1-2,text,true,,90408,1302,1,3,http://172.16.33.16/api/auth/token,761,0,1
1709296164537,142,Access_AccessGrouptype-api/accessgrouptype/find,200,OK,AllScreens 1-2,text,true,,868,1219,1,3,http://172.16.33.16/api/accessgrouptype/find,142,0,0
1709296164405,566,api/request/save?_dc=1709196053216,200,OK,RequestAccess_SubmitRequest 3-1,text,true,,2434,1633,1,2,http://172.16.33.16/api/request/save,566,0,0
1709296164393,698,api/request/save,200,OK,AuditorOnboarding 2-1,text,true,,2302,1614,1,2,http://172.16.33.16/api/request/save,698,0,0
1709296165527,889,Login,200,OK,AllScreens 1-3,text,true,,90406,1302,1,3,http://172.16.33.16/api/auth/token,854,0,1
1709296166888,160,Access_AccessReview-api/lists/find,200,OK,AllScreens 1-3,text,true,,854,1298,1,3,http://172.16.33.16/api/lists/find,160,0,0
1709296166980,245,Requestor-api/request(Reload-ToWorkflowID),200,OK,RequestAccess_SubmitRequest 3-1,text,true,,3277,1029,1,3,http://172.16.33.16/api/request/ui/4737425758511524?_dc=1709296166979&id=4737425758511524,245,0,0
1709296167098,176,Requestor-api/request(Reload-ToWorkflowID),200,OK,AuditorOnboarding 2-1,text,true,,2292,1029,1,3,http://172.16.33.16/api/request/ui/4737425758511474?_dc=1709296167097&id=4737425758511474,176,0,0
1709296167299,249,api/workflow/getdocstatus/workflowId,200,OK,AuditorOnboarding 2-1,text,true,,996,1052,1,3,http://172.16.33.16/api/workflow/getdocstatus/4737425758527760?_dc=1709296167298,249,0,0
1709296167283,267,api/workflow/getdocstatus/workflowId,200,OK,RequestAccess_SubmitRequest 3-1,text,true,,1450,1052,1,2,http://172.16.33.16/api/workflow/getdocstatus/4737425758527778?_dc=1709296167282,267,0,0
1709296167294,585,Access_AccessReview-api/accessreview/find,200,OK,AllScreens 1-3,text,true,,201100,1287,2,3,http://172.16.33.16/api/accessreview/find,546,0,0
