timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709198203725,1175,Login-Admin-/api/auth/token,200,OK,setUp Thread Group 1-1,text,true,,90277,801,1,1,http://172.16.33.16/api/auth/token,1136,0,2
1709198205400,803,Login,200,OK,AllScreens 1-1,text,true,,90172,1302,1,1,http://172.16.33.16/api/auth/token,768,0,2
1709198206442,153,Access_AccessGroup-api/accessgrouptype/find,200,OK,AllScreens 1-1,text,true,,868,1237,1,1,http://172.16.33.16/api/accessgrouptype/find?_dc=1709198206442,153,0,0
1709198207003,120,Access_AccessGroup-api/accessgroup/find,200,OK,AllScreens 1-1,text,true,,1301,1470,1,1,http://172.16.33.16/api/accessgroup/find,120,0,0
1709198207584,914,Login,200,OK,AllScreens 1-2,text,true,,90433,1302,1,1,http://172.16.33.16/api/auth/token,872,0,1
1709198208874,184,Access_AccessGrouptype-api/accessgrouptype/find,200,OK,AllScreens 1-2,text,true,,868,1219,1,1,http://172.16.33.16/api/accessgrouptype/find,184,0,0
1709198209765,1137,Login,200,OK,AllScreens 1-3,text,true,,90407,1302,1,1,http://172.16.33.16/api/auth/token,1102,0,2
1709198211377,174,Access_AccessReview-api/lists/find,200,OK,AllScreens 1-3,text,true,,855,1298,1,1,http://172.16.33.16/api/lists/find,174,0,0
1709198212034,726,Access_AccessReview-api/accessreview/find,200,OK,AllScreens 1-3,text,true,,201409,1287,2,2,http://172.16.33.16/api/accessreview/find,689,0,0
1709198211948,877,Login,200,OK,AllScreens 1-4,text,true,,90275,1302,2,2,http://172.16.33.16/api/auth/token,845,0,1
1709198213158,94,Access_AnalyticsMasterConfig-api/getnewids,200,OK,AllScreens 1-4,text,true,,736,1174,1,1,http://172.16.33.16/api/getnewids?_dc=1709198213158,94,0,0
1709198213676,537,Access_AnalyticsMasterConfig-api/analytics/find,200,OK,AllScreens 1-4,text,true,,56626,1364,2,2,http://172.16.33.16/api/analytics/find,504,0,0
1709198214129,1061,Login,200,OK,AllScreens 1-5,text,true,,90407,1302,1,1,http://172.16.33.16/api/auth/token,1028,0,2
1709198215682,502,Access_ManageAccess-api/access/find,200,OK,AllScreens 1-5,text,true,,2524,1425,1,1,http://172.16.33.16/api/access/find,502,0,0
1709198216311,949,Login,200,OK,AllScreens 1-6,text,true,,90412,1302,1,1,http://172.16.33.16/api/auth/token,918,0,2
1709198217567,211,Access_ManageAccessType-api/accesstype/find,200,OK,AllScreens 1-6,text,true,,1024,1214,1,1,http://172.16.33.16/api/accesstype/find,211,0,0
1709198218495,896,Login,200,OK,AllScreens 1-7,text,true,,90415,1302,1,1,http://172.16.33.16/api/auth/token,856,0,1
1709198219691,137,Access_Prerequisite-api/getnewids,200,OK,AllScreens 1-7,text,true,,748,1174,1,1,http://172.16.33.16/api/getnewids?_dc=1709198219691,137,0,0
1709198220091,148,Access_Prerequisite-api/lists/find,200,OK,AllScreens 1-7,text,true,,757,1295,1,1,http://172.16.33.16/api/lists/find,148,0,0
1709198220556,176,Access_Prerequisite-api/prerequisite/find,200,OK,AllScreens 1-7,text,true,,1855,1287,2,2,http://172.16.33.16/api/prerequisite/find,176,0,0
1709198220681,918,Login,200,OK,AllScreens 1-8,text,true,,90425,1302,1,1,http://172.16.33.16/api/auth/token,876,0,3
1709198221924,259,Access_PrerequisiteType-api/prerequisitetype/find,200,OK,AllScreens 1-8,text,true,,1108,1220,1,1,http://172.16.33.16/api/prerequisitetype/find,259,0,0
1709198222911,1141,Login,200,OK,AllScreens 1-9,text,true,,90405,1302,1,1,http://172.16.33.16/api/auth/token,1105,0,1
1709198224508,341,Access_ReviewType-api/reviewtype/find,200,OK,AllScreens 1-9,text,true,,112953,1214,1,1,http://172.16.33.16/api/reviewtype/find,331,0,0
1709198225080,1108,Login,200,OK,AllScreens 1-10,text,true,,90398,1302,1,1,http://172.16.33.16/api/auth/token,1065,0,3
1709198226712,186,Access_UserProfile-api/classdef/find,200,OK,AllScreens 1-10,text,true,,5695,1261,1,1,http://172.16.33.16/api/classdef/find,186,0,0
1709198227179,214,Access_UserProfile-api/assetsubtype/find,200,OK,AllScreens 1-10,text,true,,1069,1216,2,2,http://172.16.33.16/api/assetsubtype/find,214,0,0
1709198227696,147,Access_UserProfile-api/lists/find,200,OK,AllScreens 1-10,text,true,,694,1286,2,2,http://172.16.33.16/api/lists/find,147,0,0
1709198228080,145,Access_UserProfile-api/lists/find,200,OK,AllScreens 1-10,text,true,,1003,1294,2,2,http://172.16.33.16/api/lists/find,145,0,0
