timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725353057805,1783,adminLogin,200,OK,setUp Thread Group 1-1,text,true,,113498,802,1,1,http://172.16.37.224/api/auth/token,1727,0,3
1725353059599,1296,lobbyAdminLogin,200,OK,setUp Thread Group 1-1,text,true,,119514,808,1,1,http://172.16.37.224/api/auth/token,1260,0,0
1725353061557,115,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,737,1105,1,1,http://172.16.37.224/api/getnewids,115,0,8
1725353062191,501,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1056,1554,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,501,0,0
1725353063333,703,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1175,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,703,0,0
1725353064927,153,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,741,1105,1,1,http://172.16.37.224/api/getnewids,153,0,13
1725353066386,526,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1057,1554,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,526,0,0
1725353068305,668,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1171,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,668,0,0
1725353070587,128,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,737,1105,1,1,http://172.16.37.224/api/getnewids,128,0,10
1725353071052,498,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1055,1554,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,498,0,0
1725353073223,572,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1169,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,572,0,0
1725353074661,132,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,735,1105,1,1,http://172.16.37.224/api/getnewids,131,0,4
1725353076349,449,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1058,1554,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,449,0,0
1725353077643,665,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1171,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,665,0,0
1725353078340,114,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,736,1105,1,1,http://172.16.37.224/api/getnewids,114,0,8
1725353078850,631,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1058,1554,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,631,0,0
1725353079663,984,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1176,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,984,0,0
1725353081373,177,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,741,1105,1,1,http://172.16.37.224/api/getnewids,177,0,8
1725353081673,434,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1057,1554,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,434,0,0
1725353082535,721,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1170,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,721,0,0
1725353084885,141,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,736,1105,1,1,http://172.16.37.224/api/getnewids,141,0,9
1725353085233,458,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1056,1554,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,458,0,0
1725353087520,855,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1176,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,854,0,0
1725353089354,126,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,740,1105,1,1,http://172.16.37.224/api/getnewids,126,0,8
1725353089817,477,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1058,1554,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,477,0,0
1725353091780,762,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1176,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,762,0,0
1725353093326,130,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,737,1105,1,1,http://172.16.37.224/api/getnewids,130,0,16
1725353094474,368,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1057,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,368,0,0
1725353096530,1178,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1175,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,1177,0,0
1725353097819,149,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,736,1105,1,1,http://172.16.37.224/api/getnewids,149,0,8
1725353099304,654,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1058,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,654,0,0
1725353100762,846,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1172,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,846,0,0
1725353101961,129,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,737,1105,1,1,http://172.16.37.224/api/getnewids,129,0,3
1725353102358,386,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1058,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,386,0,0
1725353103555,783,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1177,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,783,0,0
1725353105440,139,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,742,1105,1,1,http://172.16.37.224/api/getnewids,139,0,3
1725353107442,550,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1058,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,550,0,0
1725353108572,778,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1171,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,778,0,0
1725353110804,210,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,743,1105,1,1,http://172.16.37.224/api/getnewids,210,0,7
1725353112360,439,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1059,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,439,0,0
1725353113263,705,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1170,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,705,0,0
1725353113983,128,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,745,1105,1,1,http://172.16.37.224/api/getnewids,128,0,10
1725353115943,773,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1059,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,772,0,0
1725353118247,749,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1174,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,749,0,0
1725353120905,137,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,738,1105,1,1,http://172.16.37.224/api/getnewids,137,0,11
1725353122659,472,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1059,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,472,0,0
1725353124865,523,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1176,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,523,0,0
1725353126980,172,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,737,1105,1,1,http://172.16.37.224/api/getnewids,172,0,4
1725353127559,443,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1058,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,443,0,0
1725353128909,1016,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1177,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,1016,0,0
1725353130642,170,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,739,1105,1,1,http://172.16.37.224/api/getnewids,170,0,10
1725353131154,470,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1058,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,470,0,0
1725353133346,570,VIMRegCases/api/tpmadmin/visit/save,200,OK,VIMRegCases 1-1,text,true,,1173,1958,1,1,http://172.16.37.224/api/tpmadmin/visit/save,570,0,0
1725353134673,172,api/getnewids,200,OK,VIMRegCases 1-1,text,true,,742,1105,1,1,http://172.16.37.224/api/getnewids,172,0,8
1725353135669,430,VIMRegCases/api/tpmadmin/visitors/save,200,OK,VIMRegCases 1-1,text,true,,1059,1559,1,1,http://172.16.37.224/api/tpmadmin/visitors/save,430,0,0
