timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716974353040,1646,adminLogin,200,OK,setUp Thread Group 1-1,text,true,,123115,801,1,1,http://172.16.16.69/api/auth/token,1180,0,2
1716974354804,1655,lobbyAdminLogin,200,OK,setUp Thread Group 1-1,text,true,,134632,807,1,1,http://172.16.16.69/api/auth/token,906,0,0
1716974358589,21,api/getnewids,200,OK,#NSDataCreation 1-1,text,true,,741,1213,1,1,http://172.16.16.69/api/getnewids,21,0,2
1716974359003,139,#NSDataCreation/api/binaryresource/upload,201,Created,#NSDataCreation 1-1,text,true,,27417,26726,1,1,http://172.16.16.69/api/binaryresource/upload,139,0,0
1716974360985,171,#NSDataCreation/api/tpmadmin/visitors/save,200,OK,#NSDataCreation 1-1,text,true,,1023,1560,1,1,http://172.16.16.69/api/tpmadmin/visitors/save,171,0,0
1716974361776,206,#NSDataCreation/api/tpmadmin/visit/save,200,OK,#NSDataCreation 1-1,text,true,,1128,2044,1,1,http://172.16.16.69/api/tpmadmin/visit/save,206,0,0
1716974362984,21,api/getnewids,200,OK,#NSDataCreation 1-1,text,true,,734,1213,1,1,http://172.16.16.69/api/getnewids,21,0,2
1716974363570,119,#NSDataCreation/api/binaryresource/upload,201,Created,#NSDataCreation 1-1,text,true,,27418,26789,1,1,http://172.16.16.69/api/binaryresource/upload,118,0,0
1716974364834,201,#NSDataCreation/api/tpmadmin/visitors/save,200,OK,#NSDataCreation 1-1,text,true,,1022,1560,1,1,http://172.16.16.69/api/tpmadmin/visitors/save,200,0,0
1716974366508,197,#NSDataCreation/api/tpmadmin/visit/save,200,OK,#NSDataCreation 1-1,text,true,,1125,2044,1,1,http://172.16.16.69/api/tpmadmin/visit/save,196,0,0
1716974366889,17,api/getnewids,200,OK,#NSDataCreation 1-1,text,true,,742,1213,1,1,http://172.16.16.69/api/getnewids,17,0,3
1716974368275,91,#NSDataCreation/api/binaryresource/upload,201,Created,#NSDataCreation 1-1,text,true,,27418,26754,1,1,http://172.16.16.69/api/binaryresource/upload,90,0,0
1716974368571,152,#NSDataCreation/api/tpmadmin/visitors/save,200,OK,#NSDataCreation 1-1,text,true,,1024,1560,1,1,http://172.16.16.69/api/tpmadmin/visitors/save,152,0,0
1716974369285,181,#NSDataCreation/api/tpmadmin/visit/save,200,OK,#NSDataCreation 1-1,text,true,,1127,2044,1,1,http://172.16.16.69/api/tpmadmin/visit/save,181,0,0
1716974369945,18,api/getnewids,200,OK,#NSDataCreation 1-1,text,true,,744,1213,1,1,http://172.16.16.69/api/getnewids,18,0,3
1716974370885,116,#NSDataCreation/api/binaryresource/upload,201,Created,#NSDataCreation 1-1,text,true,,27418,26747,1,1,http://172.16.16.69/api/binaryresource/upload,115,0,0
1716974371273,160,#NSDataCreation/api/tpmadmin/visitors/save,200,OK,#NSDataCreation 1-1,text,true,,1025,1560,1,1,http://172.16.16.69/api/tpmadmin/visitors/save,160,0,0
1716974373248,186,#NSDataCreation/api/tpmadmin/visit/save,200,OK,#NSDataCreation 1-1,text,true,,1128,2044,1,1,http://172.16.16.69/api/tpmadmin/visit/save,186,0,0
1716974374818,27,api/getnewids,200,OK,#NSDataCreation 1-1,text,true,,743,1213,1,1,http://172.16.16.69/api/getnewids,27,0,3
1716974376075,115,#NSDataCreation/api/binaryresource/upload,201,Created,#NSDataCreation 1-1,text,true,,27418,26726,1,1,http://172.16.16.69/api/binaryresource/upload,114,0,0
1716974377828,169,#NSDataCreation/api/tpmadmin/visitors/save,200,OK,#NSDataCreation 1-1,text,true,,1024,1560,1,1,http://172.16.16.69/api/tpmadmin/visitors/save,169,0,0
1716974378455,239,#NSDataCreation/api/tpmadmin/visit/save,200,OK,#NSDataCreation 1-1,text,true,,1126,2044,1,1,http://172.16.16.69/api/tpmadmin/visit/save,239,0,0
1716974380663,17,api/getnewids,200,OK,#NSDataCreation 1-1,text,true,,741,1213,1,1,http://172.16.16.69/api/getnewids,17,0,3
1716974380845,113,#NSDataCreation/api/binaryresource/upload,201,Created,#NSDataCreation 1-1,text,true,,27418,26733,1,1,http://172.16.16.69/api/binaryresource/upload,112,0,0
1716974382850,139,#NSDataCreation/api/tpmadmin/visitors/save,200,OK,#NSDataCreation 1-1,text,true,,1023,1560,1,1,http://172.16.16.69/api/tpmadmin/visitors/save,139,0,0
1716974384876,269,#NSDataCreation/api/tpmadmin/visit/save,200,OK,#NSDataCreation 1-1,text,true,,1126,2044,1,1,http://172.16.16.69/api/tpmadmin/visit/save,269,0,0
1716974386578,18,api/getnewids,200,OK,#NSDataCreation 1-1,text,true,,736,1213,1,1,http://172.16.16.69/api/getnewids,17,0,3
