timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1711024385949,1917,Login-api/auth/token,200,OK,setUp Thread Group 1-1,text,true,,51136,801,1,1,https://172.16.35.86/api/auth/token,1914,0,44
1711024388192,234,AssetSave-Admin-api/asset/save,400,Bad Request,AssetSave 1-1,text,false,,396,1098,1,1,https://172.16.35.86/api/asset/save,234,0,45
1711024388427,97,AssetSave-Admin-api/asset/save,400,Bad Request,AssetSave 1-1,text,false,,391,1098,1,1,https://172.16.35.86/api/asset/save,97,0,0
1711024388525,79,AssetSave-Admin-api/asset/save,400,Bad Request,AssetSave 1-1,text,false,,387,1098,1,1,https://172.16.35.86/api/asset/save,79,0,0
1711024388605,71,AssetSave-Admin-api/asset/save,400,Bad Request,AssetSave 1-1,text,false,,391,1098,1,1,https://172.16.35.86/api/asset/save,71,0,0
1711024388677,98,AssetSave-Admin-api/asset/save,400,Bad Request,AssetSave 1-1,text,false,,416,1166,1,1,https://172.16.35.86/api/asset/save,98,0,0
1711024388817,203,IdentitySave-Admin-api/identity/save,400,Bad Request,IdentitySave 2-1,text,false,,402,1126,1,1,https://172.16.35.86/api/identity/save?,203,0,39
1711024389021,81,IdentitySave-Admin-api/identity/save,400,Bad Request,IdentitySave 2-1,text,false,,403,1128,1,1,https://172.16.35.86/api/identity/save?,81,0,0
1711024389103,83,IdentitySave-Admin-api/identity/save,400,Bad Request,IdentitySave 2-1,text,false,,390,1107,1,1,https://172.16.35.86/api/identity/save?,83,0,0
1711024389187,120,IdentitySave-Admin-api/identity/save,400,Bad Request,IdentitySave 2-1,text,false,,388,1085,1,1,https://172.16.35.86/api/identity/save?,120,0,0
1711024389338,360,AccessSave-Admin-/api/access/save,400,Bad Request,AccessSave 3-1,text,false,,387,1153,1,1,https://172.16.35.86/api/access/save?,360,0,45
1711024389701,330,AccessSave-Admin-/api/access/save,400,Bad Request,AccessSave 3-1,text,false,,391,1152,1,1,https://172.16.35.86/api/access/save?,330,0,0
1711024390032,416,AccessSave-Admin-/api/access/save,400,Bad Request,AccessSave 3-1,text,false,,394,1148,1,1,https://172.16.35.86/api/access/save?,416,0,0
1711024390474,124,#RuleSetSave-Admin-/api/rule-set/save?,400,Bad Request,#RuleSetSave 4-1,text,false,,387,1047,1,1,https://172.16.35.86/api/rule-set/save?,124,0,42
1711024390599,59,#RuleSetSave-Admin-/api/rule-set/save?,400,Bad Request,#RuleSetSave 4-1,text,false,,394,1047,1,1,https://172.16.35.86/api/rule-set/save?,59,0,0
1711024390697,174,PolicySave-Admin-/api/policy/save?,400,Bad Request,PolicySave 5-1,text,false,,394,1264,1,1,https://172.16.35.86/api/policy/save?,174,0,46
1711024390872,54,PolicySave-Admin-/api/policy/save?,400,Bad Request,PolicySave 5-1,text,false,,387,1264,1,1,https://172.16.35.86/api/policy/save?,54,0,0
1711024390927,28,PolicySave-Admin-/api/policy/save?,500,Internal Server Error,PolicySave 5-1,text,false,,11037,1254,1,1,https://172.16.35.86/api/policy/save?,28,0,0
1711024390956,54,PolicySave-Admin-/api/policy/save?,400,Bad Request,PolicySave 5-1,text,false,,387,1262,1,1,https://172.16.35.86/api/policy/save?,54,0,0
1711024391042,133,RuleSave-Admin-/api/rule/save?,400,Bad Request,RuleSave 6-1,text,false,,387,1191,1,1,https://172.16.35.86/api/rule/save?/api/rule/save?,133,0,43
1711024391176,220,RuleSave-Admin-/api/rule/save?,200,OK,RuleSave 6-1,text,true,,1098,1191,1,1,https://172.16.35.86/api/rule/save?/api/rule/save?,220,0,0
1711024391397,60,RuleSave-Admin-/api/rule/save?,400,Bad Request,RuleSave 6-1,text,false,,394,1191,1,1,https://172.16.35.86/api/rule/save?/api/rule/save?,60,0,0
1711024391486,153,#WorkflowSave-Admin-/api/workflow/save,400,Bad Request,#WorkflowSave 7-1,text,false,,392,2214,1,1,https://172.16.35.86/api/workflow/save,153,0,42
1711024391640,50,#WorkflowSave-Admin-/api/workflow/save,400,Bad Request,#WorkflowSave 7-1,text,false,,386,1137,1,1,https://172.16.35.86/api/workflow/save,50,0,0
1711024391691,84,#WorkflowSave-Admin-/api/workflow/save,400,Bad Request,#WorkflowSave 7-1,text,false,,386,2214,1,1,https://172.16.35.86/api/workflow/save,84,0,0
