timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729249608094,1738,AdminLogin-/api/auth/token,200,OK,setUp Thread Group-Login 1-1,text,true,,258939,828,1,1,https://hsc.perf.alertenterprisecloud.com/api/auth/token,963,0,198
1729249611949,252,SingleRegCases-/api/getnewids,200,OK,SingleRegCases 1-1,text,true,,643,1164,1,1,https://hsc.perf.alertenterprisecloud.com/api/getnewids,252,0,190
1729249614215,98,SingleRegCases-/api/binaryresource/upload,201,Created,SingleRegCases 1-1,text,true,,10467,8357,2,2,https://hsc.perf.alertenterprisecloud.com/api/binaryresource/upload,98,0,0
1729249614939,244,SingleRegCases-/api/getnewids,200,OK,SingleRegCases 1-2,text,true,,642,1164,2,2,https://hsc.perf.alertenterprisecloud.com/api/getnewids,244,0,183
1729249616323,610,SingleRegCases-/api/tpmadmin/visitors/save,200,OK,SingleRegCases 1-1,text,true,,893,1485,3,3,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visitors/save,610,0,0
1729249617213,102,SingleRegCases-/api/binaryresource/upload,201,Created,SingleRegCases 1-2,text,true,,10467,8427,3,3,https://hsc.perf.alertenterprisecloud.com/api/binaryresource/upload,102,0,0
1729249617948,246,SingleRegCases-/api/getnewids,200,OK,SingleRegCases 1-3,text,true,,647,1164,3,3,https://hsc.perf.alertenterprisecloud.com/api/getnewids,246,0,183
1729249618932,164,SingleRegCases-/api/tpmadmin/visit/save,200,OK,SingleRegCases 1-1,text,true,,1150,2318,4,4,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visit/save,164,0,0
1729249619310,620,SingleRegCases-/api/tpmadmin/visitors/save,200,OK,SingleRegCases 1-2,text,true,,890,1485,4,4,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visitors/save,620,0,0
1729249620201,103,SingleRegCases-/api/binaryresource/upload,201,Created,SingleRegCases 1-3,text,true,,10469,8385,4,4,https://hsc.perf.alertenterprisecloud.com/api/binaryresource/upload,103,0,0
1729249620935,247,SingleRegCases-/api/getnewids,200,OK,SingleRegCases 1-4,text,true,,638,1164,4,4,https://hsc.perf.alertenterprisecloud.com/api/getnewids,247,0,184
1729249621097,203,SingleRegCases-/api/asset/save,200,OK,SingleRegCases 1-1,text,true,,886,1447,4,4,https://hsc.perf.alertenterprisecloud.com/api/asset/save?_dc=1729249621097,203,0,0
1729249621920,199,SingleRegCases-/api/tpmadmin/visit/save,200,OK,SingleRegCases 1-2,text,true,,1148,2318,5,5,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visit/save,199,0,0
1729249622308,393,SingleRegCases-/api/tpmadmin/visitors/save,200,OK,SingleRegCases 1-3,text,true,,891,1485,5,5,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visitors/save,393,0,0
1729249623183,100,SingleRegCases-/api/binaryresource/upload,201,Created,SingleRegCases 1-4,text,true,,10469,8385,5,5,https://hsc.perf.alertenterprisecloud.com/api/binaryresource/upload,100,0,0
1729249623323,291,SingleRegCasesModify-/api/tpmadmin/visit/save,200,OK,SingleRegCases 1-1,text,true,,4632,1374,5,5,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visit/save?_dc=1729249623323,291,0,0
1729249623949,295,SingleRegCases-/api/getnewids,200,OK,SingleRegCases 1-5,text,true,,645,1164,5,5,https://hsc.perf.alertenterprisecloud.com/api/getnewids,295,0,181
1729249624121,286,SingleRegCases-/api/asset/save,200,OK,SingleRegCases 1-2,text,true,,884,1447,5,5,https://hsc.perf.alertenterprisecloud.com/api/asset/save?_dc=1729249624121,286,0,0
1729249624699,482,SingleRegCases-/api/tpmadmin/visit/save,200,OK,SingleRegCases 1-3,text,true,,1145,2318,6,6,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visit/save,482,0,0
1729249625283,1036,SingleRegCases-/api/tpmadmin/visitors/save,200,OK,SingleRegCases 1-4,text,true,,895,1485,6,6,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visitors/save,1036,0,0
1729249626252,95,SingleRegCases-/api/binaryresource/upload,201,Created,SingleRegCases 1-5,text,true,,10468,8364,6,6,https://hsc.perf.alertenterprisecloud.com/api/binaryresource/upload,95,0,0
