timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729097112148,1268,AdminLogin-/api/auth/token,200,OK,setUp Thread Group-Login 1-1,text,true,,258863,828,1,1,https://hsc.perf.alertenterprisecloud.com/api/auth/token,1084,0,274
1729097113428,853,SecurityAdminLogin-/api/auth/token,200,OK,setUp Thread Group-Login 1-1,text,true,,265109,824,1,1,https://hsc.perf.alertenterprisecloud.com/api/auth/token,787,0,0
1729097114294,682,ApproverLogin-/api/auth/token,200,OK,setUp Thread Group-Login 1-1,text,true,,255601,825,1,1,https://hsc.perf.alertenterprisecloud.com/api/auth/token,621,0,0
1729097115123,265,FinalCheckoutDataCreation-/api/getnewids,200,OK,FinalCheckoutDataCreation 1-1,text,true,,639,1164,1,1,https://hsc.perf.alertenterprisecloud.com/api/getnewids,265,0,185
1729097115388,184,FinalCheckoutDataCreation-/api/binaryresource/upload,201,Created,FinalCheckoutDataCreation 1-1,text,true,,10469,8427,1,1,https://hsc.perf.alertenterprisecloud.com/api/binaryresource/upload,184,0,0
1729097115572,1119,FinalCheckoutDataCreation-/api/tpmadmin/visitors/save,200,OK,FinalCheckoutDataCreation 1-1,text,true,,894,1477,1,1,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visitors/save,1119,0,0
1729097116691,282,FinalCheckoutDataCreation-/api/tpmadmin/visit/save,200,OK,FinalCheckoutDataCreation 1-1,text,true,,1120,2172,1,1,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visit/save,282,0,0
1729097116974,320,FinalCheckoutDataCreation-/api/asset/save,200,OK,FinalCheckoutDataCreation 1-1,text,true,,883,1447,1,1,https://hsc.perf.alertenterprisecloud.com/api/asset/save?_dc=1729097116971,320,0,0
1729097117294,540,FinalCheckoutDataCreationModify-/api/tpmadmin/visit/save,200,OK,FinalCheckoutDataCreation 1-1,text,true,,2894,1374,1,1,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visit/save?_dc=1729097117283,539,0,0
1729097117834,1229,FinalCheckoutDataCreationCIn-/api/tpm/visitorsvisits/save,200,OK,FinalCheckoutDataCreation 1-1,text,true,,5211,1579,1,1,https://hsc.perf.alertenterprisecloud.com/api/tpm/visitorsvisits/save,1228,0,0
1729097119064,263,FinalCheckoutDataCreation-/api/getnewids,200,OK,FinalCheckoutDataCreation 1-1,text,true,,643,1164,1,1,https://hsc.perf.alertenterprisecloud.com/api/getnewids,263,0,202
1729097119328,118,FinalCheckoutDataCreation-/api/binaryresource/upload,201,Created,FinalCheckoutDataCreation 1-1,text,true,,10469,8427,1,1,https://hsc.perf.alertenterprisecloud.com/api/binaryresource/upload,118,0,0
1729097119447,325,FinalCheckoutDataCreation-/api/tpmadmin/visitors/save,200,OK,FinalCheckoutDataCreation 1-1,text,true,,892,1477,1,1,https://hsc.perf.alertenterprisecloud.com/api/tpmadmin/visitors/save,325,0,0
