timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732629874903,1568,AdminLogin-api/auth/token,200,OK,setUp Thread Group 1-1,text,true,,264225,824,1,1,https://hscperf69.alertenterprise.com/api/auth/token,1545,0,31
1732629876573,1171,SecurityAdmin-api/auth/token,200,OK,setUp Thread Group 1-1,text,true,,258550,820,1,1,https://hscperf69.alertenterprise.com/api/auth/token,1148,0,0
1732629878051,1144,Login-api/auth/token,200,OK,WFAPIs 1-1,text,true,,257127,880,1,1,https://hscperf69.alertenterprise.com/api/auth/token,1123,0,33
1732629879244,7,api/getnewids,200,OK,WFAPIs 1-1,text,true,,816,1101,1,1,https://hscperf69.alertenterprise.com/api/getnewids,7,0,0
1732629879252,8,WFAPIs-/api/getnewids,200,OK,WFAPIs 1-1,text,true,,807,1101,1,1,https://hscperf69.alertenterprise.com/api/getnewids,7,0,0
1732629879260,443,WFAPIs-/api/identity/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1261,1,1,https://hscperf69.alertenterprise.com/api/identity/save,443,0,0
1732629879703,241,WFAPIs-/api/asset/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1312,1,1,https://hscperf69.alertenterprise.com/api/asset/save,241,0,0
1732629879944,170,WFAPIs-/api/access/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1305,1,1,https://hscperf69.alertenterprise.com/api/access/save,170,0,0
1732629880114,130,WFAPIs-/api/watchlist/save,400,Bad Request,WFAPIs 1-1,text,false,,439,1454,1,1,https://hscperf69.alertenterprise.com/api/watchlist/save?_dc=1732629880115,130,0,0
1732629880244,901,WFAPIs-/api/tpmadmin/visitors/save,200,OK,WFAPIs 1-1,text,true,,1045,1383,1,1,https://hscperf69.alertenterprise.com/api/tpmadmin/visitors/save,901,0,0
1732629881145,874,WFAPIs-/api/tpmadmin/visit/save,200,OK,WFAPIs 1-1,text,true,,1288,2109,1,1,https://hscperf69.alertenterprise.com/api/tpmadmin/visit/save,874,0,0
1732629882021,6,WFAPIsWS-/api/workflow/setdocstatus,400,Bad Request,WFAPIs 1-1,text,false,,689,1247,1,1,https://hscperf69.alertenterprise.com/api/workflow/setdocstatus,6,0,0
1732629882027,5183,WFAPIsCIn-/api/tpm/visitorsvisits/save,200,OK,WFAPIs 1-1,text,true,,765,1516,1,1,https://hscperf69.alertenterprise.com/api/tpm/visitorsvisits/save,5183,0,0
1732629887210,195,WFAPIs-/api/user/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1261,1,1,https://hscperf69.alertenterprise.com/api/user/save,195,0,0
1732629887405,93,WFAPIs-/api/organisation/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1199,1,1,https://hscperf69.alertenterprise.com/api/organisation/save,93,0,0
1732629887498,90,WFAPIs-/api/classdef/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1359,1,1,https://hscperf69.alertenterprise.com/api/classdef/save,89,0,0
1732629887588,72,WFAPIs-/api/tpmadmin/visittype/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1244,1,1,https://hscperf69.alertenterprise.com/api/tpmadmin/visittype/save,72,0,0
1732629887661,112,WFAPIs-/api/reconconfig/save,400,Bad Request,WFAPIs 1-1,text,false,,439,1322,1,1,https://hscperf69.alertenterprise.com/api/reconconfig/save,112,0,0
1732629887774,75,WFAPIs-/api/rule/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1307,1,1,https://hscperf69.alertenterprise.com/api/rule/save,75,0,0
1732629887849,73,WFAPIs-/api/rule-set/save,400,Bad Request,WFAPIs 1-1,text,false,,439,1231,1,1,https://hscperf69.alertenterprise.com/api/rule-set/save,73,0,0
1732629887922,817,WFAPIs-/api/request/save,400,Bad Request,WFAPIs 1-1,text,false,,456,1444,1,1,https://hscperf69.alertenterprise.com/api/request/save,817,0,0
1732629888740,93,WFAPIs-/api/location/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1260,1,1,https://hscperf69.alertenterprise.com/api/location/save,93,0,0
1732629888834,70,WFAPIs-/api/configsetting/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1290,1,1,https://hscperf69.alertenterprise.com/api/configsetting/save,70,0,0
1732629888905,70,WFAPIs-/api/screencontrolset/save,400,Bad Request,WFAPIs 1-1,text,false,,450,1292,1,1,https://hscperf69.alertenterprise.com/api/screencontrolset/save,70,0,0
