timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729086661872,2878,AdminLogin-/api/auth/token,200,OK,setUp Thread Group-Login 1-1,text,true,,258871,828,1,1,https://hsc.perf.alertenterprisecloud.com/api/auth/token,2692,0,239
1729086664763,1713,SecurityAdminLogin-/api/auth/token,200,OK,setUp Thread Group-Login 1-1,text,true,,265099,824,1,1,https://hsc.perf.alertenterprisecloud.com/api/auth/token,1652,0,0
1729086666488,724,ApproverLogin-/api/auth/token,200,OK,setUp Thread Group-Login 1-1,text,true,,255611,825,1,1,https://hsc.perf.alertenterprisecloud.com/api/auth/token,702,0,0
1729086667366,1159,Login,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,258853,1316,1,2,https://hsc.perf.alertenterprisecloud.com/api/auth/token,974,0,188
1729086668882,105,VIM Dashboard/api/assetsubtype/find,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,1287,1242,1,2,https://hsc.perf.alertenterprisecloud.com/api/assetsubtype/find?_dc=1729086668881,105,0,0
1729086669431,91,VIM Dashboard/api/assettype/find,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,982,1239,1,2,https://hsc.perf.alertenterprisecloud.com/api/assettype/find?_dc=1729086669430,91,0,0
1729086669295,254,SingleRegCases-/api/getnewids,200,OK,SingleRegCases 1-1,text,true,,646,1164,1,2,https://hsc.perf.alertenterprisecloud.com/api/getnewids,254,0,185
1729086669750,310,VIM Dashboard/api/asset/find,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,2517,1326,1,2,https://hsc.perf.alertenterprisecloud.com/api/asset/find?_dc=1729086669749,309,0,0
1729086670396,64,VIM Dashboard/api/getnewids,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,640,1182,1,2,https://hsc.perf.alertenterprisecloud.com/api/getnewids?_dc=1729086670394,64,0,0
1729086670756,77,VIM Dashboard/api/lists/find,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,750,1318,1,2,https://hsc.perf.alertenterprisecloud.com/api/lists/find?_dc=1729086670755,77,0,0
1729086671065,72,VIM Dashboard/api/lists/find-2,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,787,1318,1,2,https://hsc.perf.alertenterprisecloud.com/api/lists/find?_dc=1729086671064,72,0,0
1729086671544,76,VIM Dashboard/api/lists/find-3,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,813,1326,1,2,https://hsc.perf.alertenterprisecloud.com/api/lists/find?_dc=1729086671543,76,0,0
1729086671560,165,SingleRegCases-/api/watchlist/save,200,OK,SingleRegCases 1-1,text,true,,932,1517,1,2,https://hsc.perf.alertenterprisecloud.com/api/watchlist/save?_dc=1729086671559,165,0,0
1729086671831,70,VIM Dashboard/api/lists/find-4,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,504,1313,1,2,https://hsc.perf.alertenterprisecloud.com/api/lists/find?_dc=1729086671830,70,0,0
1729086672308,75,VIM Dashboard/api/lists/find-5,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,917,1318,1,2,https://hsc.perf.alertenterprisecloud.com/api/lists/find?_dc=1729086672307,75,0,0
1729086672661,71,VIM Dashboard/api/lists/find-6,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,727,1323,1,2,https://hsc.perf.alertenterprisecloud.com/api/lists/find?_dc=1729086672660,71,0,0
1729086672939,72,VIM Dashboard/api/lists/find-7,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,736,1320,1,2,https://hsc.perf.alertenterprisecloud.com/api/lists/find?_dc=1729086672939,72,0,0
1729086673424,423,VIM Dashboard/api/accessrequesttype/find,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,95525,1248,2,4,https://hsc.perf.alertenterprisecloud.com/api/accessrequesttype/find?_dc=1729086673423,416,0,0
1729086673726,135,SingleRegCases-/api/binaryresource/upload,201,Created,SingleRegCases 1-1,text,true,,10468,8385,2,4,https://hsc.perf.alertenterprisecloud.com/api/binaryresource/upload,135,0,0
1729086674136,67,VIM Dashboard/api/lists/find-8,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,777,1321,2,4,https://hsc.perf.alertenterprisecloud.com/api/lists/find?_dc=1729086674136,67,0,0
1729086674473,72,VIM Dashboard/api/lists/find-9,200,OK,AllScreens-ModifiedWithVIM 2-1,text,true,,654,1322,2,4,https://hsc.perf.alertenterprisecloud.com/api/lists/find?_dc=1729086674473,72,0,0
1729086673327,1353,Login,200,OK,AllScreens-ModifiedWithVIM 2-2,text,true,,258847,1316,2,4,https://hsc.perf.alertenterprisecloud.com/api/auth/token,1171,0,182
